record_id,title,authors,language,publication_year,publisher,isbn_or_issn,segment,subsegment,perspective,topics,access_type,dataset_status
eqs-0001,Capital structure and optimal financing,Anietie Nathaniel Bassey,en,2013,Unknown,,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0002,Corporate Finance and Capital Structure,Kentaro Asai,en,2011,John Wiley & Sons,9780470569528,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0003,Capital structuring,Brian Coyle,en,2003,Springer Science & Business Media,1402072996,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0004,Capital Structure Managerial Finance,George P. Artikis,en,2025,Springer Nature,9783031854590,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0005,Corporate Capital Structures and Financing Patterns,Conference Board.,en,1981,Unknown,,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0006,Corporate Capital Structures and Financing Plans,Conference Board.,en,1981,PHI Learning Pvt. Ltd.,9788120351615,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0007,Capital Structure and Corporate Financing Decisions,H. Kent Baker; Gerald S. Martin,en,2011,John Wiley & Sons,9780470569528,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0008,Strategic Corporate Finance,Justin Pettit,en,2008,John Wiley & Sons,9781118160626,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0009,Structured finance & insurance,Christopher L. Culp,en,2006,John Wiley & Sons,9781118160992,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0010,"Securitization, Structured Finance, and Capital Markets",Steven Schwarcz,en,2001,Unknown,153101089X,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0011,Health capital financing,Jonathan Betz Brown,en,1988,Jones & Bartlett Learning,9780763789299,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0012,Essays on Capital Structure and Trade Financing,Klaus Hammes,en,2003,Department of Economics School of Economics and Commercial Law Go,,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0013,"Securitization, Structured Finance, and Capital Markets (Paperback)",Steven Schwarcz; Bruce Markell; Lissa Broome,en,2018,Unknown,,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0014,Optimal financing and capital structure programs for the firm,I. Inselbag,en,1973,Unknown,,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0015,"Company financing, capital structure, and ownership",Sanjiva Prasad,en,2001,Unknown,3902109041,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
eqs-0016,Capital Structure in the Modern World,Anton Miglo,en,2016,Edward Elgar Publishing,9781785365171,Securities & Investment Banking,Equity Strategy,practice,capital structure finance,unknown,draft
